alpha_id,n_levels,buy_spread_base,sell_spread_base,spread_step,amount_base_w,refresh_s,cooldown_s,use_sl,stop_loss,use_tp,take_profit,tp_is_market,time_limit_s,use_trail,trail_act,trail_delta,leverage,is_sharpe_mean,is_pnl_pct_mean,is_pnl_pct_worst,is_max_dd_worst,oos_sharpe_mean,oos_pnl_pct_mean,oos_pnl_pct_worst,oos_max_dd_worst,n_sym_profit_is,n_sym_profit_oos,avg_fills,avg_inv_pct,score
A0351,4,0.0076685405520283,0.0133460911743438,0.0007915127044539,1.4538788977838806,30,0,True,0.0340140328863413,True,0.0056076597363922,False,7200,True,0.0112852235380599,0.0095341388386676,2,0.7402547809548252,0.5758062931842124,-1.4020615575599549,-3.649934208524992,3.1554002795268543,0.4577100624316991,0.0,-1.475982298231902,5,8,76.1,0.2129742928129733,7.953051688126413
A2743,4,0.0075719871987532,0.0130189548560094,0.0012260809037136,1.0645394463510542,60,60,True,0.0279727896835773,True,0.018250712115284,True,2700,False,0.0,0.0,3,0.501019010610588,0.7899899311362732,-1.8766996665635447,-5.803409972365553,2.664845761928402,0.863397249471749,0.0,-1.877650068223902,6,8,65.3,0.4151064664679086,7.680848121384734
A2756,2,0.0077460163495888,0.0136120049764506,0.0016299283704503,1.8891723638489204,60,0,True,0.0120929133819065,True,0.0065712936975757,True,300,True,0.017022898183689,0.004596318612449,3,1.1032223145460764,1.1369271919705644,-0.6332405774744074,-3.0152168762679867,3.134698115512456,0.5867687228879004,-0.0325728066250303,-2.6837337623841995,6,7,44.4,0.048323673581858,7.172337202705105
A0865,3,0.0087829923107738,0.0105920506446009,0.0009453080207381,1.1835708882787814,30,300,True,0.0178773988706174,False,0.0,False,600,False,0.0,0.0,2,0.9429578246111016,1.047452390272023,-0.4019471110083941,-2.8725639307886195,2.3127459834093536,0.3349367418656493,0.0,-1.276733178474442,6,7,56.1,0.0779739457699587,6.82666609732777
A3893,5,0.0089028712926013,0.0144781138960507,0.0022811936361316,1.709582969480782,120,60,False,0.0,False,0.0,True,3600,False,0.0,0.0,3,0.4360067039055354,0.3480595254836372,-3.885088397787749,-7.754334583107629,2.387407597650944,0.5295318863510401,0.0,-1.3276507902016783,6,7,58.6,0.2610217706250806,6.746038598415292
A1073,4,0.0082811370769656,0.0145603300293973,0.0007918890589873,1.5058916258109865,60,0,True,0.0042046317262342,True,0.0312815827215464,False,2700,False,0.0,0.0,3,0.3487560345488692,0.4713138070914955,-3.03191335160629,-4.681311171411362,2.3714535287549845,0.6262451738235614,-0.0538836466874636,-2.076126760500483,5,7,58.0,0.1975467198560747,6.679875104852817
A1347,5,0.0088182829836131,0.0099545756708012,0.0002562209627036,1.8108849942180405,30,300,True,0.0287630470114954,True,0.0223742193134651,False,600,True,0.0171880650651878,0.0114159840728702,1,0.48580036440149,0.391052649703368,-0.3651965565771752,-1.8929916873200452,1.6739819614754026,0.1299395371922946,0.0,-0.755157815985076,6,7,115.0,0.0458027077380965,6.439827667780583
A0853,3,0.008720723569044,0.0099469236245723,0.0003980868535534,1.2815087108429313,60,30,True,0.0399618960104092,False,0.0,False,300,False,0.0,0.0,5,0.3436703621972427,1.4823159297071251,-5.037470799275143,-11.214711894049142,1.7511546597434535,0.9459413070991212,0.0,-3.848532701133863,5,7,76.4,0.1392530049354853,6.318700529933764
A3300,2,0.0130648410479675,0.0109627013859195,0.0006293505980566,1.5643599470102478,300,30,False,0.0,True,0.0113321227506539,False,300,False,0.0,0.0,2,0.0912639132934347,0.0735900245666471,-4.917552037190307,-5.763006688676961,1.651654579432877,0.4081124235079369,-0.0352444118246421,-1.6437234919353252,5,7,90.9,0.1014306622830773,6.300086123432669
A3949,5,0.00890849081412,0.0098306493718689,0.000688350185659,0.8914284932976593,60,30,True,0.0056932601886026,True,0.0191745339332518,False,900,True,0.0146890454287339,0.0106238831228008,2,2.0309279857851634,1.6336958424907937,0.0,-2.22585130471356,1.428867804340967,0.1036558436661543,-0.972862094215725,-2.8603313845292906,9,6,92.6,0.0946541812902253,5.787395092821261
